Date,Open,High,Low,Close
12/31/2014,"2,082.11","2,085.58","2,057.94","2,058.90"
12/30/2014,"2,088.49","2,088.49","2,079.53","2,080.35"
12/29/2014,"2,087.63","2,093.55","2,085.75","2,090.57"
12/26/2014,"2,084.30","2,092.70","2,084.30","2,088.77"
12/24/2014,"2,083.25","2,087.56","2,081.86","2,081.88"
12/23/2014,"2,081.48","2,086.73","2,079.77","2,082.17"
12/22/2014,"2,069.28","2,078.76","2,069.28","2,078.54"
12/19/2014,"2,061.04","2,077.85","2,061.03","2,070.65"
12/18/2014,"2,018.98","2,061.23","2,018.98","2,061.23"
12/17/2014,"1,973.77","2,016.75","1,973.77","2,012.89"
12/16/2014,"1,986.71","2,016.89","1,972.56","1,972.74"
12/15/2014,"2,005.03","2,018.69","1,982.26","1,989.63"
12/12/2014,"2,030.36","2,032.25","2,002.33","2,002.33"
12/11/2014,"2,027.92","2,055.53","2,027.92","2,035.33"
12/10/2014,"2,058.86","2,058.86","2,024.26","2,026.14"
12/09/2014,"2,056.55","2,060.60","2,034.17","2,059.82"
12/08/2014,"2,074.84","2,075.78","2,054.27","2,060.31"
12/05/2014,"2,072.78","2,079.47","2,070.81","2,075.37"
12/04/2014,"2,073.64","2,077.34","2,062.34","2,071.92"
12/03/2014,"2,067.45","2,076.28","2,066.65","2,074.33"
12/02/2014,"2,053.77","2,068.77","2,053.77","2,066.55"
12/01/2014,"2,065.78","2,065.78","2,049.57","2,053.44"
11/28/2014,"2,074.78","2,075.76","2,065.06","2,067.56"
11/26/2014,"2,067.36","2,073.29","2,066.62","2,072.83"
11/25/2014,"2,070.15","2,074.21","2,064.75","2,067.03"
11/24/2014,"2,065.07","2,070.17","2,065.07","2,069.41"
11/21/2014,"2,057.46","2,071.46","2,056.75","2,063.50"
11/20/2014,"2,045.87","2,053.84","2,040.49","2,052.75"
11/19/2014,"2,051.16","2,052.14","2,040.37","2,048.72"
11/18/2014,"2,041.48","2,056.08","2,041.48","2,051.80"
11/17/2014,"2,038.29","2,043.07","2,034.46","2,041.32"
11/14/2014,"2,039.74","2,042.22","2,035.20","2,039.82"
11/13/2014,"2,039.21","2,046.18","2,030.44","2,039.33"
11/12/2014,"2,037.75","2,040.33","2,031.95","2,038.25"
11/11/2014,"2,038.20","2,041.28","2,035.28","2,039.68"
11/10/2014,"2,032.01","2,038.70","2,030.17","2,038.26"
11/07/2014,"2,032.36","2,034.26","2,025.07","2,031.92"
11/06/2014,"2,023.33","2,031.61","2,015.86","2,031.21"
11/05/2014,"2,015.29","2,023.77","2,014.42","2,023.57"
11/04/2014,"2,015.81","2,015.98","2,001.01","2,012.10"
11/03/2014,"2,018.21","2,024.46","2,013.68","2,017.81"
10/31/2014,"2,001.20","2,018.19","2,001.20","2,018.05"
10/30/2014,"1,979.49","1,999.40","1,974.75","1,994.65"
10/29/2014,"1,983.29","1,991.40","1,969.04","1,982.30"
10/28/2014,"1,964.14","1,985.05","1,964.14","1,985.05"
10/27/2014,"1,962.97","1,964.64","1,951.37","1,961.63"
10/24/2014,"1,951.59","1,965.27","1,946.27","1,964.58"
10/23/2014,"1,931.02","1,961.95","1,931.02","1,950.82"
10/22/2014,"1,941.29","1,949.31","1,926.83","1,927.11"
10/21/2014,"1,909.38","1,942.45","1,909.38","1,941.28"
10/20/2014,"1,885.62","1,905.03","1,882.30","1,904.01"
10/17/2014,"1,864.91","1,898.16","1,864.91","1,886.76"
10/16/2014,"1,855.95","1,876.01","1,835.02","1,862.76"
10/15/2014,"1,874.18","1,874.18","1,820.66","1,862.49"
10/14/2014,"1,877.11","1,898.71","1,871.79","1,877.70"
10/13/2014,"1,905.65","1,912.09","1,874.14","1,874.74"
10/10/2014,"1,925.63","1,936.98","1,906.05","1,906.13"
10/09/2014,"1,967.68","1,967.68","1,927.56","1,928.21"
10/08/2014,"1,935.55","1,970.36","1,925.25","1,968.89"
10/07/2014,"1,962.36","1,962.36","1,934.87","1,935.10"
10/06/2014,"1,970.01","1,977.84","1,958.43","1,964.82"
10/03/2014,"1,948.12","1,971.19","1,948.12","1,967.90"
10/02/2014,"1,945.83","1,952.32","1,926.03","1,946.17"
10/01/2014,"1,971.44","1,971.44","1,941.72","1,946.16"
09/30/2014,"1,978.21","1,985.17","1,968.96","1,972.29"
09/29/2014,"1,978.96","1,981.28","1,964.04","1,977.80"
09/26/2014,"1,966.22","1,986.37","1,966.22","1,982.85"
09/25/2014,"1,997.32","1,997.32","1,965.99","1,965.99"
09/24/2014,"1,983.34","1,999.79","1,978.63","1,998.30"
09/23/2014,"1,992.78","1,995.41","1,982.77","1,982.77"
09/22/2014,"2,009.08","2,009.08","1,991.01","1,994.29"
09/19/2014,"2,012.74","2,019.26","2,006.59","2,010.40"
09/18/2014,"2,003.07","2,012.34","2,003.07","2,011.36"
09/17/2014,"1,999.30","2,010.74","1,993.29","2,001.57"
09/16/2014,"1,981.93","2,002.28","1,979.06","1,998.98"
09/15/2014,"1,986.04","1,987.18","1,978.48","1,984.13"
09/12/2014,"1,996.74","1,996.74","1,980.26","1,985.54"
09/11/2014,"1,992.85","1,997.65","1,985.93","1,997.45"
09/10/2014,"1,988.41","1,996.66","1,982.99","1,995.69"
09/09/2014,"2,000.73","2,001.01","1,984.61","1,988.44"
09/08/2014,"2,007.17","2,007.17","1,995.60","2,001.54"
09/05/2014,"1,998.00","2,007.71","1,990.10","2,007.71"
09/04/2014,"2,001.67","2,011.17","1,992.54","1,997.65"
09/03/2014,"2,003.57","2,009.28","1,998.14","2,000.72"
09/02/2014,"2,004.07","2,006.12","1,994.85","2,002.28"
08/29/2014,"1,998.45","2,003.38","1,994.65","2,003.37"
